Frequency [MHz]	RF generator power [dBm]
907.8	-3.73647797999
907.9	-3.74996634632
908.0	-3.75855133261
908.1	-3.76327516487
908.2	-3.76008663042
908.3	-3.77887547877
908.4	-3.78672854087
908.5	-3.80310340854
908.6	-3.79277108613
908.7	-3.81758805977
908.8	-3.81785934089
908.9	-3.804183169
909.0	-3.83912224921
909.1	-3.82576650435
909.2	-3.85068356357
909.3	-3.83815580092
909.4	-3.84665677796
909.5	-3.86187530004
909.6	-3.85945038355
909.7	-3.85721517274
909.8	-3.85378972657
909.9	-3.86958217406
910.0	-3.89920948366
910.1	-3.88355031774
910.2	-3.87864603668
910.3	-3.88653439674
910.4	-3.88830783848
910.5	-3.89260524329
910.6	-3.87947755747
910.7	-3.89987004178
910.8	-3.89725041413
910.9	-3.89223601081
911.0	-3.90875439646
911.1	-3.90322702456
911.2	-3.91996363282
911.3	-3.90189290752
911.4	-3.89680000155
911.5	-3.93009624557
911.6	-3.90896175213
911.7	-3.9245666258
911.8	-3.91419566717
911.9	-3.92305712591
912.0	-3.92399923557
912.1	-3.92577779577
912.2	-3.95367153169
