Frequency [MHz]	RF generator power [dBm]
907.8	-14.4791201846
907.9	-14.4329415269
908.0	-14.4553944693
908.1	-14.4685984753
908.2	-14.4637912575
908.3	-14.4402945036
908.4	-14.4810067474
908.5	-14.4706047314
908.6	-14.4779114086
908.7	-14.4894409746
908.8	-14.5040612039
908.9	-14.4887590832
909.0	-14.498509388
909.1	-14.4782291813
909.2	-14.5020797164
909.3	-14.5059122075
909.4	-14.5103705384
909.5	-14.5074896957
909.6	-14.4844017344
909.7	-14.5209949228
909.8	-14.5157958851
909.9	-14.5066448989
910.0	-14.5523749931
910.1	-14.4686285698
910.2	-14.4958008075
910.3	-14.519917398
910.4	-14.5210413608
910.5	-14.5253900799
910.6	-14.5171658537
910.7	-14.53505835
910.8	-14.5019627974
910.9	-14.5465181036
911.0	-14.548848777
911.1	-14.5224766222
911.2	-14.4955235115
911.3	-14.5207247381
911.4	-14.5082824711
911.5	-14.5129913969
911.6	-14.5164225782
911.7	-14.5071846566
911.8	-14.5431121298
911.9	-14.5391044792
912.0	-14.486798475
912.1	-14.4893531947
912.2	-14.5477524268
